XLabel.Wavenumber
YLabel.%Transmittance
FileType.%Transmittance
DisplayDirection.20300
PeakDirection.20311
1712,711736.-27,202183
1714,575405.-27,005672
1716,439074.-26,805009
1718,302743.-26,562973
1720,166412.-25,776775
1722,030081.-24,766914
1723,893750.-23,864630
1725,757419.-22,747721
1727,621088.-21,455164
1729,484756.-20,174423
1731,348425.-18,766978
1733,212094.-17,550701
1735,075763.-16,575531
1736,939432.-15,424954
1738,803101.-14,541862
1740,666770.-13,614256
1742,530439.-12,659767
1744,394108.-11,883448
1746,257777.-11,040398
1748,121446.-10,209237
1749,985115.-9,443158
1751,848783.-8,589011
1753,712452.-7,699841
1755,576121.-7,144244
1757,439790.-6,633472
1759,303459.-6,103970
1761,167128.-5,574935
1763,030797.-4,987645
1764,894466.-4,480476
1766,758135.-4,064466
1768,621804.-3,745082
1770,485473.-3,372335
1772,349142.-3,083939
1774,212811.-2,790826
1776,076479.-2,435114
1777,940148.-2,136529
1779,803817.-1,739167
1781,667486.-1,320408
1783,531155.-0,981880
1785,394824.-0,756943
1787,258493.-0,374438
1789,122162.-0,248320
1790,985831.-0,100763
1792,849500.0,191312
1794,713169.0,363864
1796,576838.0,417896
1798,440506.0,565036
1800,304175.0,801154
1802,167844.1,065507
1804,031513.1,298265
1805,895182.1,313502
1807,758851.1,199315
1809,622520.1,230467
1811,486189.1,400206
1813,349858.1,502346
1815,213527.1,364600
1817,077196.1,208660
1818,940865.1,257218
1820,804533.1,292414
1822,668202.1,479987
1824,531871.1,708098
1826,395540.1,356327
1828,259209.1,293818
1830,122878.1,716729
1831,986547.1,756903
1833,850216.1,579187
1835,713885.1,521599
1837,577554.1,670963
1839,441223.1,768565
1841,304892.1,554297
1843,168561.1,413561
1845,032229.1,718052
1846,895898.1,658184
1848,759567.1,417656
1850,623236.1,306418
1852,486905.1,326714
1854,350574.1,511874
1856,214243.1,630830
1858,077912.1,516648
1859,941581.1,314677
1861,805250.1,114931
1863,668919.1,076968
1865,532588.0,859820
1867,396256.0,860551
1869,259925.1,396003
1871,123594.1,484409
1872,987263.0,971336
1874,850932.0,652176
1876,714601.0,713543
1878,578270.0,582752
1880,441939.0,471356
1882,305608.0,490017
1884,169277.0,557884
1886,032946.0,809289
1887,896615.0,929859
1889,760283.0,679115
1891,623952.0,577413
1893,487621.0,636015
1895,351290.0,569604
